prior_s,vpre_0_frequency_hz,vpre_1_frequency_hz,gap_less_than_prior
5.000000000000e-06,40,540,1
3.000000000000e-06,40,540,1
2.000000000000e-06,40,540,1
2.500000000000e-05,40,560,1
1.000000000000e-05,40,560,1
5.000000000000e-06,40,560,1
3.000000000000e-06,40,560,1
2.000000000000e-06,40,560,1
2.500000000000e-05,40,580,1
1.000000000000e-05,40,580,1
5.000000000000e-06,40,580,1
3.000000000000e-06,40,580,1
2.000000000000e-06,40,580,1
2.500000000000e-05,40,600,1
1.000000000000e-05,40,600,1
5.000000000000e-06,40,600,1
3.000000000000e-06,40,600,1
2.000000000000e-06,40,600,1
2.500000000000e-05,40,620,1
1.000000000000e-05,40,620,1
5.000000000000e-06,40,620,1
3.000000000000e-06,40,620,1
2.000000000000e-06,40,620,1
2.500000000000e-05,40,640,1
1.000000000000e-05,40,640,1
5.000000000000e-06,40,640,1
3.000000000000e-06,40,640,1
2.000000000000e-06,40,640,1
2.500000000000e-05,40,660,1
1.000000000000e-05,40,660,1
5.000000000000e-06,40,660,1
3.000000000000e-06,40,660,1
2.000000000000e-06,40,660,1
2.500000000000e-05,40,680,1
1.000000000000e-05,40,680,1
5.000000000000e-06,40,680,1
3.000000000000e-06,40,680,1
2.000000000000e-06,40,680,1
2.500000000000e-05,40,700,1
1.000000000000e-05,40,700,1
5.000000000000e-06,40,700,1
3.000000000000e-06,40,700,1
2.000000000000e-06,40,700,1
2.500000000000e-05,40,720,1
1.000000000000e-05,40,720,1
5.000000000000e-06,40,720,1
3.000000000000e-06,40,720,1
2.000000000000e-06,40,720,1
2.500000000000e-05,40,740,1
1.000000000000e-05,40,740,1
5.000000000000e-06,40,740,1
3.000000000000e-06,40,740,1
2.000000000000e-06,40,740,1
2.500000000000e-05,40,760,1
1.000000000000e-05,40,760,1
5.000000000000e-06,40,760,1
3.000000000000e-06,40,760,1
2.000000000000e-06,40,760,1
2.500000000000e-05,40,780,1
1.000000000000e-05,40,780,1
5.000000000000e-06,40,780,1
3.000000000000e-06,40,780,1
2.000000000000e-06,40,780,1
2.500000000000e-05,40,800,1
1.000000000000e-05,40,800,1
5.000000000000e-06,40,800,1
3.000000000000e-06,40,800,1
2.000000000000e-06,40,800,1
2.500000000000e-05,40,820,1
1.000000000000e-05,40,820,1
5.000000000000e-06,40,820,1
3.000000000000e-06,40,820,1
2.000000000000e-06,40,820,1
2.500000000000e-05,40,840,1
1.000000000000e-05,40,840,1
5.000000000000e-06,40,840,1
3.000000000000e-06,40,840,1
2.000000000000e-06,40,840,1
2.500000000000e-05,40,860,1
1.000000000000e-05,40,860,1
5.000000000000e-06,40,860,1
3.000000000000e-06,40,860,1
2.000000000000e-06,40,860,1
2.500000000000e-05,40,880,1
1.000000000000e-05,40,880,1
5.000000000000e-06,40,880,1
3.000000000000e-06,40,880,1
2.000000000000e-06,40,880,1
2.500000000000e-05,40,900,1
1.000000000000e-05,40,900,1
5.000000000000e-06,40,900,1
3.000000000000e-06,40,900,1
2.000000000000e-06,40,900,1
2.500000000000e-05,40,920,1
1.000000000000e-05,40,920,1
5.000000000000e-06,40,920,1
3.000000000000e-06,40,920,1
2.000000000000e-06,40,920,1
2.500000000000e-05,40,940,1
1.000000000000e-05,40,940,1
5.000000000000e-06,40,940,1
3.000000000000e-06,40,940,1
2.000000000000e-06,40,940,1
2.500000000000e-05,40,960,1
1.000000000000e-05,40,960,1
5.000000000000e-06,40,960,1
3.000000000000e-06,40,960,1
2.000000000000e-06,40,960,1
2.500000000000e-05,40,980,1
1.000000000000e-05,40,980,1
5.000000000000e-06,40,980,1
3.000000000000e-06,40,980,1
2.000000000000e-06,40,980,1
2.500000000000e-05,40,1000,1
1.000000000000e-05,40,1000,1
5.000000000000e-06,40,1000,1
3.000000000000e-06,40,1000,1
2.000000000000e-06,40,1000,1
2.500000000000e-05,60,0,0
1.000000000000e-05,60,0,0
5.000000000000e-06,60,0,0
3.000000000000e-06,60,0,0
2.000000000000e-06,60,0,0
2.500000000000e-05,60,20,0
1.000000000000e-05,60,20,0
5.000000000000e-06,60,20,0
3.000000000000e-06,60,20,0
2.000000000000e-06,60,20,0
2.500000000000e-05,60,40,1
1.000000000000e-05,60,40,0
5.000000000000e-06,60,40,0
3.000000000000e-06,60,40,0
2.000000000000e-06,60,40,0
2.500000000000e-05,60,60,1
1.000000000000e-05,60,60,1
5.000000000000e-06,60,60,0
3.000000000000e-06,60,60,0
2.000000000000e-06,60,60,0
2.500000000000e-05,60,80,1
1.000000000000e-05,60,80,1
5.000000000000e-06,60,80,0
3.000000000000e-06,60,80,0
2.000000000000e-06,60,80,0
2.500000000000e-05,60,100,1
1.000000000000e-05,60,100,1
5.000000000000e-06,60,100,1
3.000000000000e-06,60,100,0
2.000000000000e-06,60,100,0
2.500000000000e-05,60,120,1
1.000000000000e-05,60,120,1
5.000000000000e-06,60,120,1
3.000000000000e-06,60,120,0
2.000000000000e-06,60,120,0
2.500000000000e-05,60,140,1
1.000000000000e-05,60,140,1
5.000000000000e-06,60,140,1
3.000000000000e-06,60,140,1
2.000000000000e-06,60,140,0
2.500000000000e-05,60,160,1
1.000000000000e-05,60,160,1
5.000000000000e-06,60,160,1
3.000000000000e-06,60,160,1
2.000000000000e-06,60,160,0
2.500000000000e-05,60,180,1
1.000000000000e-05,60,180,1
5.000000000000e-06,60,180,1
3.000000000000e-06,60,180,1
2.000000000000e-06,60,180,1
2.500000000000e-05,60,200,1
1.000000000000e-05,60,200,1
5.000000000000e-06,60,200,1
3.000000000000e-06,60,200,1
2.000000000000e-06,60,200,1
2.500000000000e-05,60,220,1
1.000000000000e-05,60,220,1
5.000000000000e-06,60,220,1
3.000000000000e-06,60,220,1
2.000000000000e-06,60,220,1
2.500000000000e-05,60,240,1
1.000000000000e-05,60,240,1
5.000000000000e-06,60,240,1
3.000000000000e-06,60,240,1
2.000000000000e-06,60,240,1
2.500000000000e-05,60,260,1
1.000000000000e-05,60,260,1
5.000000000000e-06,60,260,1
3.000000000000e-06,60,260,1
2.000000000000e-06,60,260,1
2.500000000000e-05,60,280,1
1.000000000000e-05,60,280,1
5.000000000000e-06,60,280,1
3.000000000000e-06,60,280,1
2.000000000000e-06,60,280,1
2.500000000000e-05,60,300,1
1.000000000000e-05,60,300,1
5.000000000000e-06,60,300,1
3.000000000000e-06,60,300,1
2.000000000000e-06,60,300,1
2.500000000000e-05,60,320,1
1.000000000000e-05,60,320,1
5.000000000000e-06,60,320,1
3.000000000000e-06,60,320,1
2.000000000000e-06,60,320,1
2.500000000000e-05,60,340,1
1.000000000000e-05,60,340,1
5.000000000000e-06,60,340,1
3.000000000000e-06,60,340,1
2.000000000000e-06,60,340,1
